url,status,score,verdict,coverage_state,page_fetch_state,robots_txt_state,indexing_state,last_crawl_time,last_modified,google_canonical,user_canonical,source_sitemap,recommendation,inspection_error
"https://haven-h1b.com/blog/cloudera-perm-suspension-doj-lawsuit-2026","indexed","33","PASS","Submitted and indexed","SUCCESSFUL","ALLOWED","INDEXING_ALLOWED","2026-08-07T21:19:47Z","2026-05-16T00:00:00.000Z","https://haven-h1b.com/blog/cloudera-perm-suspension-doj-lawsuit-2026","https://haven-h1b.com/blog/cloudera-perm-suspension-doj-lawsuit-2026","https://haven-h1b.com/sitemap.xml","Inspect the URL manually in Search Console and confirm the live page is indexable.",""
"https://haven-h1b.com/blog/june-2026-eb-visa-bulletin-retrogression","crawled_not_indexed","163","NEUTRAL","Crawled - currently not indexed","SUCCESSFUL","ALLOWED","INDEXING_ALLOWED","2026-07-05T00:52:56Z","2026-05-14T00:00:00.000Z","https://haven-h1b.com/blog/june-2026-eb-visa-bulletin-retrogression","https://haven-h1b.com/blog/june-2026-eb-visa-bulletin-retrogression","https://haven-h1b.com/sitemap.xml","Check rendered content and overlapping search intent. Merge duplicates or add original evidence, tables, and contextual internal links before requesting indexing.",""
"https://haven-h1b.com/blog/may-2026-eb-visa-bulletin-final-action-dates","discovered_not_indexed","123","NEUTRAL","Discovered - currently not indexed","PAGE_FETCH_STATE_UNSPECIFIED","ROBOTS_TXT_STATE_UNSPECIFIED","INDEXING_STATE_UNSPECIFIED","","2026-05-13T00:00:00.000Z","","","https://haven-h1b.com/sitemap.xml","Add a crawlable contextual link from an indexed hub or related article, confirm sitemap lastmod, and inspect the live URL.",""
"https://haven-h1b.com/blog/uscis-invalid-signature-denial-rule-2026","indexed","33","PASS","Submitted and indexed","SUCCESSFUL","ALLOWED","INDEXING_ALLOWED","2026-07-03T16:19:31Z","2026-05-12T00:00:00.000Z","https://haven-h1b.com/blog/uscis-invalid-signature-denial-rule-2026","https://haven-h1b.com/blog/uscis-invalid-signature-denial-rule-2026","https://haven-h1b.com/sitemap.xml","Inspect the URL manually in Search Console and confirm the live page is indexable.",""
"https://haven-h1b.com/blog/dol-h1b-perm-wage-rule-2026-comment-period","crawled_not_indexed","163","NEUTRAL","Crawled - currently not indexed","SUCCESSFUL","ALLOWED","INDEXING_ALLOWED","2026-08-02T18:40:43Z","2026-05-11T00:00:00.000Z","https://haven-h1b.com/blog/dol-h1b-perm-wage-rule-2026-comment-period","https://haven-h1b.com/blog/dol-h1b-perm-wage-rule-2026-comment-period","https://haven-h1b.com/sitemap.xml","Check rendered content and overlapping search intent. Merge duplicates or add original evidence, tables, and contextual internal links before requesting indexing.",""
"https://haven-h1b.com/resources/visajourney-review","unknown","114","NEUTRAL","URL is unknown to Google","PAGE_FETCH_STATE_UNSPECIFIED","ROBOTS_TXT_STATE_UNSPECIFIED","INDEXING_STATE_UNSPECIFIED","","2026-04-22T00:00:00.000Z","","","https://haven-h1b.com/sitemap.xml","Inspect the URL manually in Search Console and confirm the live page is indexable.",""
"https://haven-h1b.com/resources/why-h1b-help-still-feels-fragmented","discovered_not_indexed","129","NEUTRAL","Discovered - currently not indexed","PAGE_FETCH_STATE_UNSPECIFIED","ROBOTS_TXT_STATE_UNSPECIFIED","INDEXING_STATE_UNSPECIFIED","","2026-04-22T00:00:00.000Z","","","https://haven-h1b.com/sitemap.xml","Add a crawlable contextual link from an indexed hub or related article, confirm sitemap lastmod, and inspect the live URL.",""
"https://haven-h1b.com/resources/who-can-file-n400-naturalization-eligibility","indexed","39","PASS","Submitted and indexed","SUCCESSFUL","ALLOWED","INDEXING_ALLOWED","2026-07-22T20:31:32Z","2026-04-20T00:00:00.000Z","https://haven-h1b.com/resources/who-can-file-n400-naturalization-eligibility","https://haven-h1b.com/resources/who-can-file-n400-naturalization-eligibility","https://haven-h1b.com/sitemap.xml","Inspect the URL manually in Search Console and confirm the live page is indexable.",""
"https://haven-h1b.com/resources/how-to-become-a-us-citizen","discovered_not_indexed","129","NEUTRAL","Discovered - currently not indexed","PAGE_FETCH_STATE_UNSPECIFIED","ROBOTS_TXT_STATE_UNSPECIFIED","INDEXING_STATE_UNSPECIFIED","","2026-04-19T00:00:00.000Z","","","https://haven-h1b.com/sitemap.xml","Add a crawlable contextual link from an indexed hub or related article, confirm sitemap lastmod, and inspect the live URL.",""
"https://haven-h1b.com/resources/cancellation-of-removal-explained","discovered_not_indexed","129","NEUTRAL","Discovered - currently not indexed","PAGE_FETCH_STATE_UNSPECIFIED","ROBOTS_TXT_STATE_UNSPECIFIED","INDEXING_STATE_UNSPECIFIED","","2026-04-18T00:00:00.000Z","","","https://haven-h1b.com/sitemap.xml","Add a crawlable contextual link from an indexed hub or related article, confirm sitemap lastmod, and inspect the live URL.",""
